,MouseID,BRAF_N,pERK_N,S6_N,pGSK3B_N,CaNA_N,CDK5_N,pNUMB_N,DYRK1A_N,ITSN1_N,SOD1_N,GFAP_N,Genotype,Treatment,Behavior,Class
110,3507_6,0.346401901,0.655974202,0.526321077,0.157926462,1.585392807,0.298372514,0.399015614,0.400033944,0.584691107,0.309572301,0.121961021,1,0,1,6
111,3507_7,0.298545597,0.533018868,0.485955787,0.160078023,1.530039012,0.292977893,0.381092767,0.371069182,0.514544025,0.312106918,0.124057217,1,0,1,6
112,3507_8,0.311723281,0.559859155,0.50571391,0.157099698,1.590568764,0.294496256,0.399544325,0.383181442,0.56006628,0.327671914,0.124129778,1,0,1,6
113,3507_9,0.341003317,0.554104478,0.511297951,0.154755649,1.571466106,0.289148713,0.42371476,0.39800995,0.540215589,0.327321725,0.124934314,1,0,1,6
114,3507_10,0.28882061,0.481919168,0.474462784,0.161476176,1.459669885,0.270943631,0.371070669,0.317655401,0.463011108,0.312692035,0.133291809,1,0,1,6
115,3507_11,0.32425135,0.489690722,0.491089733,0.157546128,1.498028702,0.291436682,0.393225331,0.337260677,0.480854197,0.333087874,0.127109289,1,0,1,6
116,3507_12,0.33299075,0.508735868,0.476091142,0.162387677,1.500320924,0.31097561,0.406217883,0.369989723,0.516443988,0.340184995,0.131258023,1,0,1,6
117,3507_13,0.344140393,0.533016062,0.437341236,0.16299746,1.455546147,0.313928874,0.425044616,0.353361095,0.491671624,0.363176681,0.142887384,1,0,1,6
118,3507_14,0.32387975,0.488939308,0.471365639,0.160478288,1.405496119,0.306901615,0.380601248,0.351673284,0.475609756,0.341179807,0.134466121,1,0,1,6
119,3507_15,0.378722174,0.510841284,0.452696918,0.157748288,1.423587329,0.309717466,0.389129806,0.336513443,0.487424111,0.347788378,0.141909247,1,0,1,6
120,3520_1,0.642843691,1.064595104,0.778590426,0.177526596,1.620141162,0.317716858,0.405461394,0.743408663,1.025423729,0.33079096,0.116612111,1,0,1,6
121,3520_2,0.632656968,1.065084227,0.787034626,0.178599323,1.633793283,0.321426712,0.406967841,0.762442573,1.025459418,0.330781011,0.115959386,1,0,1,6
122,3520_3,0.637718299,0.967539863,0.780678851,0.188355091,1.626736292,0.322767624,0.418280182,0.755979499,1.013382688,0.335041762,0.124334204,1,0,1,6
123,3520_4,0.586694605,0.856207438,0.654398087,0.169612012,1.676654265,0.3101249,0.389863803,0.669722368,0.911733892,0.322812991,0.122375764,1,0,1,6
124,3520_5,0.598481925,0.825807282,0.683028617,0.169316375,1.642885533,0.31054584,0.394699601,0.630001287,0.839186929,0.324585102,0.12572867,1,0,1,6
125,3520_6,0.606956748,0.823736321,0.677120316,0.169165023,1.600065746,0.314464168,0.396560709,0.618551329,0.869723814,0.324908807,0.127021696,1,0,1,6
126,3520_7,0.590332423,0.748675124,0.600309438,0.164603748,1.653171738,0.306171566,0.363577967,0.619720572,0.739200257,0.310582945,0.118102114,1,0,1,6
127,3520_8,0.557259074,0.716051314,0.596273292,0.156470688,1.4021101,0.314302731,0.360607009,0.603723404,0.72324781,0.293022528,0.123287671,1,0,1,6
128,3520_9,0.568316832,0.713175933,0.593470292,0.159577189,1.545307305,0.312846305,0.349276466,0.5229246,0.757044935,0.285300838,0.123604126,1,0,1,6
129,3520_10,0.552857143,0.702857143,0.593010942,0.165195905,1.573832216,0.300505942,0.360612245,0.638367347,0.716734694,0.303061224,0.112836804,1,0,1,6
130,3520_11,0.558227054,0.698933724,0.602934217,0.165404638,1.572645528,0.285021297,0.364833786,0.618440309,0.691825214,0.313819778,0.117250355,1,0,1,6
131,3520_12,0.569925116,0.728799838,0.589034677,0.162956888,1.579311153,0.29475164,0.356203198,0.523578223,0.701477434,0.303987047,0.116096532,1,0,1,6
132,3520_13,0.594654242,0.704757234,0.543338684,0.160192616,1.530497592,0.290208668,0.362432565,0.511770476,0.678273664,0.314860226,0.116853933,1,0,1,6
133,3520_14,0.512859304,0.660363086,0.564949789,0.168286362,1.529964367,0.270651118,0.380231972,0.546646495,0.679021684,0.31896117,0.127793975,1,0,1,6
134,3520_15,0.544662309,0.687000726,0.567976804,0.160921392,1.553157216,0.290914948,0.359719196,0.515371581,0.681675139,0.31033648,0.123550258,1,0,1,6
135,3521_1,0.657324735,1.128637566,0.580186603,0.173796321,1.461403046,0.322946924,0.415674603,0.78422619,1.00380291,0.36235119,0.111785934,1,0,1,6
136,3521_2,0.720703451,1.197699617,0.592034114,0.165384446,1.449597749,0.328263068,0.414485748,0.778713119,1.063760627,0.371561927,0.110256298,1,0,1,6
137,3521_3,0.674335128,1.168706151,0.587945716,0.168174561,1.449485542,0.324330318,0.410344265,0.767988253,0.945994453,0.366944037,0.107637041,1,0,1,6
138,3521_4,0.684168746,0.979587208,0.516971743,0.168651146,1.575913749,0.312126059,0.404853708,0.646064867,0.893513268,0.367203447,0.109827617,1,0,1,6
139,3521_5,0.637600635,0.953963034,0.527060932,0.166308244,1.612305854,0.339127838,0.400498923,0.734437011,0.876063046,0.347545073,0.111947431,1,0,1,6
140,3521_6,0.660639471,0.963947078,0.543223881,0.168179104,1.538328358,0.327104478,0.400441014,0.633406836,0.868687982,0.34707828,0.112179104,1,0,1,6
141,3521_7,0.619256892,0.802770009,0.477995676,0.16344966,1.599830142,0.322498456,0.383007058,0.571314423,0.749633773,0.311093355,0.114190859,1,0,1,6
142,3521_8,0.579746835,0.828514324,0.486782418,0.162677929,1.537384639,0.32128891,0.379613591,0.639173884,0.843304464,0.313790806,0.119505709,1,0,1,6
143,3521_9,0.578862876,0.890568562,0.489419849,0.166471461,1.510111658,0.312953853,0.372976589,0.618862876,0.835317726,0.334046823,0.11720153,1,0,1,6
144,3521_10,0.598111228,0.779993005,0.455648742,0.16477553,1.58677849,0.303798717,0.377229801,0.538125219,0.702343477,0.310772998,0.120473606,1,0,1,6
145,3521_11,0.618810118,0.850374065,0.466554522,0.165941025,1.568771027,0.305857906,0.365336658,0.618631991,0.802814393,0.320270752,0.121314071,1,0,1,6
146,3521_12,0.613554434,0.85147801,0.450620299,0.168115659,1.549184331,0.303116147,0.366077866,0.563806777,0.800468637,0.339942322,0.098368663,1,0,1,6
147,3521_13,0.598903509,0.74627193,0.401588352,0.158835208,1.430840503,0.276505625,0.346710526,0.528070175,0.654166667,0.319736842,0.107610854,1,0,1,6
148,3521_14,0.605380169,0.71342819,0.435212396,0.161768635,1.455516965,0.297087897,0.362383281,0.531347265,0.702756781,0.351489551,0.103393,1,0,1,6
149,3521_15,0.565580618,0.682957393,0.424579526,0.16183287,1.473049927,0.292411601,0.331035923,0.472848789,0.639933166,0.303884712,0.111508409,1,0,1,6
150,294_1,0.270952771,0.405814906,0.270396092,0.131267649,1.027627261,0.266351217,0.317908818,0.322140322,0.512558013,0.565247065,0.099824468,1,0,0,4
151,294_2,0.263760864,0.397945747,0.279551141,0.128061263,0.982182121,0.264841914,0.303792468,0.305504346,0.488543587,0.553068212,0.103192054,1,0,0,4
152,294_3,0.265654908,0.401832103,0.270950799,0.129837028,0.990036302,0.269869468,0.320617993,0.327590922,0.518457752,0.567815149,0.099868695,1,0,0,4
153,294_4,0.286577993,0.39436863,0.258594052,0.135187331,1.028679027,0.277423716,0.32682674,0.321299015,0.485576093,0.542926239,0.109115489,1,0,0,4
154,294_5,0.268990019,0.387582473,0.283370331,0.133867387,1.058488563,0.277482868,0.310776518,0.300456776,0.475723228,0.530197936,0.109255863,1,0,0,4
155,294_6,0.26153341,0.370382532,0.275754625,0.132619279,1.051022395,0.338851022,0.30865211,0.309965523,0.468067641,0.516335577,0.113534567,1,0,0,4
156,294_7,0.299154334,0.408668076,0.237364283,0.132534631,1.0758767,0.304505179,0.338689218,0.32346723,0.478435518,0.558139535,0.099837764,1,0,0,4
157,294_8,0.334634347,0.399958915,0.241596639,0.129757785,1.04164607,0.28954523,0.335661463,0.293755136,0.46240756,0.544782251,0.100593178,1,0,0,4
158,294_9,0.286544046,0.369990319,0.250753012,0.132153614,1.082705823,0.289282129,0.306292352,0.280735721,0.434656341,0.519070668,0.101154618,1,0,0,4
159,294_10,0.323010052,0.433034501,0.220754417,0.137673086,1.076874105,0.300015916,0.398533007,0.33930997,0.521325727,0.61206194,0.107910234,1,0,0,4
160,294_11,0.315911432,0.422502575,0.239839357,0.138795181,1.105863454,0.312449799,0.355818744,0.315139032,0.483264676,0.576725026,0.123052209,1,0,0,4
161,294_12,0.325466805,0.418827801,0.239257813,0.138671875,1.127766927,0.30875651,0.367219917,0.35969917,0.490404564,0.586618257,0.110351563,1,0,0,4
162,294_13,0.336019839,0.416305022,0.216958113,0.136234242,1.062830419,0.303782025,0.390266584,0.32083075,0.464352139,0.570985741,0.118137454,1,0,0,4
163,294_14,0.37755102,0.460204082,0.226604005,0.13812832,1.072537801,0.243154884,0.402380952,0.335714286,0.519727891,0.636394558,0.127707397,1,0,0,4
164,294_15,0.367613451,0.425399935,0.230753268,0.133845196,1.096908072,0.309815314,0.410708456,0.314397649,0.495266079,0.606594842,0.118281801,1,0,0,4
165,3412_1,0.2245094,0.390284068,0.402570337,0.150746787,0.927144842,0.300712053,0.322080417,0.27048168,0.447234802,0.787429669,0.118617576,1,0,0,4
166,3412_2,0.23116774,0.409549146,0.383215369,0.145517358,0.891220088,0.283704078,0.321338561,0.265891907,0.452814338,0.797815738,0.115604988,1,0,0,4
167,3412_3,0.235127077,0.415873917,0.377783358,0.140465428,0.872258497,0.277331324,0.329689053,0.274456908,0.464006815,0.806190544,0.106981416,1,0,0,4
168,3412_4,0.238168461,0.38595592,0.390952969,0.16084858,0.979795712,0.308227635,0.330087135,0.267213395,0.42405604,0.73979156,0.128970704,1,0,0,4
169,3412_5,0.240528328,0.410149461,0.382294866,0.155770075,0.947345327,0.305397104,0.317518248,0.273375043,0.437087244,0.759645464,0.12856516,1,0,0,4
170,3412_6,0.268664564,0.382229232,0.371425477,0.152188042,0.930784229,0.298743501,0.321240799,0.270942867,0.442691903,0.758149317,0.129116118,1,0,0,4
